Name,Category,Ingredients
Calamari ripieni,Second Courses,"[['Squid', '500g'], ['White wine', '40g'], ['Garlic', '1'], ['Parsley', '5g'], ['Extra virgin olive oil', 'to taste'], ['Bread', '100g'], ['Anchovies in oil', '6'], ['Egg', '1'], ['Parmigiano Reggiano DOP', '30g'], ['White wine', '40g'], ['Garlic', '1'], ['Parsley', '5g'], ['Fine salt', 'to taste'], ['Black pepper', 'to taste'], ['Extra virgin olive oil', 'to taste']]"
Penne al baffo,First Courses,"[['Whole wheat mezze penne', '320g'], ['Cooked ham', '100g'], ['Fresh liquid cream', '300g'], ['Tomato puree', '25g'], ['Parsley', 'to taste'], ['Fine salt', 'to taste'], ['Extra virgin olive oil', 'to taste'], ['Black pepper', 'to taste']]"
Torta alla ricotta e cioccolato,Desserts,"[['Cow's ricotta', '250g'], ['Dark chocolate', '80g'], ['Eggs', '150g'], ['Sugar', '180g'], ['Butter', '80g'], ['Flour', '250g'], ['Baking powder for desserts', '16g'], ['Whole milk', '40g'], ['Powdered sugar', 'to taste']]"
Rotolo alla Nutella,Desserts,"[['Eggs', '4'], ['Sugar', '115g'], ['Flour', '80g'], ['Vanilla extract', '1 teaspoon'], ['Nutella', '350g'], ['Powdered sugar', 'to taste'], ['Unsweetened cocoa powder', 'to taste']]"
Torta al cioccolato,Desserts,"[['Dark chocolate', '150g'], ['Unsweetened cocoa powder', '50g'], ['Flour', '180g'], ['Sugar', '180g'], ['Eggs', '6'], ['Butter', '200g'], ['Baking powder for desserts', '8g'], ['Fine salt', '1 pinch']]"
Zuppa di ceci,First Courses,"[['Dried chickpeas', '300g'], ['Carrots', '1'], ['Celery', '1'], ['White onions', '½'], ['Leeks', '1'], ['Extra virgin olive oil', '3'], ['Rosemary', '2'], ['Fine salt', 'to taste'], ['Black pepper', 'to taste'], ['Bay leaves', '2'], ['Vegetable broth', '5l'], ['Tomato puree', '60g']]"
Casetta di pan di spezie,Desserts,"[['Flour', '845g'], ['Eggs', '2'], ['Egg yolks', '1'], ['Butter', '275g'], ['Sugar', '400g'], ['Honey', '125g'], ['Ground cinnamon', '10g'], ['Cloves', '3'], ['Nutmeg', '3g'], ['Ground ginger', '7g'], ['Fine salt', '1 pinch'], ['Baking soda', '10g'], ['Almonds', '300g'], ['Sugar', '350g'], ['Water', '60g'], ['Lemon juice', '1 teaspoon'], ['Egg whites', '100g'], ['Powdered sugar', '600g'], ['Chocolate candies', 'to taste'], ['Smarties', 'to taste'], ['Colored balls', 'to taste'], ['Chocolate', 'to taste'], ['Food decoration', 'to taste'], ['Nougat', 'to taste']]"
Plumcake allo yogurt,Desserts,"[['Flour', '300g'], ['Eggs', '300g'], ['Butter', '200g'], ['Powdered sugar', '200g'], ['Greek yogurt', '150g'], ['Potato starch', '50g'], ['Baking powder for desserts', '15g'], ['Vanilla bean', '1'], ['Fine salt', '4g'], ['Butter', 'to taste'], ['Flour', 'to taste']]"
Insalata di polpo prezzemolata,Antipasti,"[['Octopus', '1kg'], ['Carrots', '1'], ['Celery', '1'], ['Garlic', '1'], ['Bay leaves', '2'], ['Black peppercorns', 'to taste'], ['Fine salt', 'to taste'], ['Parsley', '10g'], ['Lemon juice', '10g'], ['Extra virgin olive oil', '30g'], ['Black pepper', '1 pinch'], ['Fine salt', '1 pinch']]"
Sformatini di spinaci,Antipasti,"[['Spinach', '500g'], ['Eggs', '4'], ['Nutmeg', '2g'], ['Fine salt', 'to taste'], ['Pine nuts', '20g'], ['Breadcrumbs', 'to taste'], ['Seed oil', 'to taste'], ['Parmigiano Reggiano DOP', '100g'], ['Black pepper', 'to taste'], ['Extra virgin olive oil', 'to taste'], ['Whole milk', '1 tablespoon'], ['Whole milk', '250ml'], ['Butter', '15g'], ['Parmigiano Reggiano DOP', '25g'], ['Flour', '25g']]"
Sushi,Piatti Unici,"[['Nishiki rice', '500g'], ['Water', '500g'], ['Rice vinegar', '75g'], ['Fine salt', '19g'], ['Sugar', '30g'], ['Kombu seaweed', '5g']]"
Biscotti allo yogurt,Desserts,"[['Flour', '300g'], ['Eggs', '60g'], ['Low-fat yogurt', '120g'], ['Sugar', '90g'], ['Baking powder for desserts', '8g'], ['Vanilla bean', '½'], ['Sunflower seed oil', '50g'], ['Lemon zest', '1'], ['Fine salt', '1 pinch'], ['Powdered sugar', 'to taste']]"
Canestrelli,Desserts,"[['Flour', '300g'], ['Potato starch', '200g'], ['Butter', '300g'], ['Powdered sugar', '150g'], ['Lemon zest', '1'], ['Egg yolks', '6'], ['Vanilla bean', '1'], ['Powdered sugar', 'to taste']]"
Lasagne con la zucca,First Courses,"[['Egg pasta', '200g'], ['Smoked scamorza cheese', '400g'], ['Fiordilatte cheese', '200g'], ['Grana Padano DOP', '100g'], ['Extra virgin olive oil', 'to taste'], ['Sage', 'to taste'], ['Black pepper', 'to taste'], ['Whole milk', '1l'], ['Butter', '100g'], ['Flour', '100g'], ['Nutmeg', 'to taste'], ['Fine salt', 'to taste'], ['Pumpkin', '8kg'], ['Garlic', '3'], ['Rosemary', 'to taste'], ['Fine salt', 'to taste'], ['Black pepper', 'to taste'], ['Nutmeg', 'to taste'], ['Extra virgin olive oil', '25g']]"
Risotto alla salsiccia,First Courses,"[['Carnaroli rice', '320g'], ['Sausage', '300g'], ['Meat broth', 'to taste'], ['Saffron', '1'], ['White wine', '½'], ['Shallot', '1'], ['Black pepper', 'to taste'], ['Extra virgin olive oil', 'to taste'], ['Butter', '40g'], ['Parmigiano Reggiano DOP', '50g']]"
Dolcetti al cocco,Desserts,"[['Desiccated coconut', '150g'], ['Sugar', '120g'], ['Egg whites', '90g']]"
Vin brule' (Mulled wine),Bevande,"[['Red wine', '1l'], ['Sugar', '100g'], ['Lemon zest', '1'], ['Orange zest', '1'], ['Cinnamon sticks', '2'], ['Cloves', '8'], ['Juniper berries', '5'], ['Star anise', '1'], ['Nutmeg', 'to taste']]"
Risotto alla crema di scampi,First Courses,"[['Carnaroli rice', '320g'], ['Scampi', '2kg'], ['Extra virgin olive oil', '50g'], ['Shallot', '60g'], ['Garlic', '1'], ['Fine salt', 'to taste'], ['Black pepper', 'to taste'], ['Fresh liquid cream', '45g'], ['Lemons', '1'], ['Thyme', 'to taste'], ['Shallot', '40g'], ['Brandy', '30g'], ['Extra virgin olive oil', '30g'], ['Parsley', '1'], ['Water', '2l'], ['Scampi', 'heads and shells'], ['Garlic', '1'], ['Peppercorns', 'to taste'], ['Coarse salt', 'to taste'], ['Tomato paste', '1 tablespoon']]"
Cioccolata calda,Desserts,"[['Whole milk', '500g'], ['Dark chocolate 60-69%', '120g'], ['Unsweetened cocoa powder', '20g'], ['Cornstarch (maizena)', '20g'], ['Sugar', '20g']]"
Puré di patate,Contorni,"[['Potatoes', '1kg'], ['Whole milk', '200g'], ['Butter', '30g'], ['Parmigiano Reggiano DOP', '30g'], ['Fine salt', 'to taste'], ['Nutmeg', 'to taste']]"
Pollo alla cacciatora,Second Courses,"[['Chicken', '3kg'], ['Peeled tomatoes', '400g'], ['Golden onions', '1'], ['Carrots', '1'], ['Celery', '1'], ['Garlic', '1'], ['Red wine', '100g'], ['Extra virgin olive oil', 'to taste'], ['Rosemary', '1'], ['Parsley', '1'], ['Fine salt', 'to taste'], ['Black pepper', 'to taste']]"
Polpette di melanzane,Antipasti,"[['Eggplants', '800g'], ['Breadcrumbs', '120g'], ['Parmigiano Reggiano DOP', '120g'], ['Egg', '1'], ['Garlic', '1'], ['Black pepper', 'to taste'], ['Fine salt', 'to taste'], ['Parsley', 'to taste'], ['Seed oil', 'to taste']]"
Baci di dama,Desserts,"[['Butter', '300g'], ['Sugar', '300g'], ['Almond flour', '300g'], ['Flour', '300g'], ['Egg whites', '50g'], ['Fine salt', '3g'], ['Dark chocolate', '375g']]"
Pasta frolla morbida,Desserts,"[['Flour', '500g'], ['Butter', '250g'], ['Powdered sugar', '200g'], ['Eggs', '2'], ['Baking powder for desserts', '8g'], ['Lemon zest', '1'], ['Fine salt', '1 pinch']]"
Crostata alla frutta,Desserts,"[['Egg yolks', '2'], ['Flour', '250g'], ['Vanilla bean', '1'], ['Powdered sugar', '100g'], ['Butter', '150g'], ['Lemon zest', '½'], ['Sugar', '120g'], ['Egg yolks', '4'], ['Whole milk', '500g'], ['Cornstarch (maizena)', '40g'], ['Flour', '20g'], ['Strawberries', '250g'], ['Kiwi', '2'], ['Pineapple', '4'], ['Blueberries', '20g'], ['Raspberries', '20g'], ['Blackberries', '20g'], ['Mint', 'to taste']]"
Canederli alla tirolese (Knödel),First Courses,"[['Stale bread', '250g'], ['Speck', '150g'], ['White onions', '50g'], ['Eggs', '2'], ['Whole milk', '250g'], ['Butter', '10g'], ['Black pepper', 'to taste'], ['Parsley', 'to taste'], ['Chives', 'to taste']]"
Casatiello napoletano,Lievitati,"[['Water', '375g'], ['Flour', '650g'], ['Fresh yeast', '10g'], ['Fine salt', '15g'], ['Black pepper', 'to taste'], ['Lard', '25g'], ['Extra virgin olive oil', '25g'], ['Neapolitan salami', '150g'], ['Pecorino', '150g'], ['Eggs', '4']]"
Cheesecake ai frutti di bosco,Desserts,"[['Digestive biscuits', '180g'], ['Butter', '100g'], ['Cow's ricotta', '500g'], ['Cream cheese', '250g'], ['Fresh liquid cream', '100g'], ['Powdered sugar', '150g'], ['Gelatin sheets', '10g'], ['Lemon zest', '1'], ['Blackberries', '190g'], ['Blueberries', '180g'], ['Raspberries', '180g'], ['Redcurrants', '135g'], ['Powdered sugar', '100g'], ['Lemon juice', '70g'], ['Cornstarch (maizena)', '35g'], ['Mixed berries', '280g'], ['Mixed berries', '50g'], ['Mint', 'to taste']]"
Passatelli in brodo,First Courses,"[['Eggs', '170g'], ['Breadcrumbs', '140g'], ['Parmigiano Reggiano DOP', '100g'], ['Lemon zest', '½'], ['Nutmeg', 'to taste'], ['Fine salt', 'to taste'], ['Meat broth', '1l'], ['Flour', '10g']]"
Cassata siciliana,Desserts,"[['Dark chocolate chips', '100g'], ['Candied orange', '50g'], ['Sheep's ricotta', '2kg'], ['Powdered sugar', '280g'], ['Eggs', '10'], ['Flour', '300g'], ['Sugar', '300g'], ['Fine salt', '1 pinch'], ['Sugar', '50g'], ['Water', '150ml'], ['Maraschino', '½'], ['Lemon zest', '½'], ['Powdered sugar', '350g'], ['Water', 'to taste'], ['Candied fruit', 'to taste'], ['Marzipan', '200g'], ['Pistachio paste', '20g'], ['Egg whites', '1'], ['Vanilla powdered sugar', '150g']]"
Saltimbocca alla Romana,Second Courses,"[['Veal slices', '300g'], ['Raw ham', '40g'], ['Sage', '4'], ['Butter', '50g'], ['White wine', '100g'], ['Black pepper', 'to taste'], ['Flour', '50g'], ['Extra virgin olive oil', '20g'], ['Water', '20g']]"
Pizza di scarola,Lievitati,"[['0 flour', '700g'], ['Water', '500ml'], ['Fresh yeast', '4g'], ['Fine salt', '20g'], ['Escarole (endive)', '100g'], ['Gaeta olives', '60g'], ['Salted capers', '20g'], ['Anchovies in oil', '10g'], ['Extra virgin olive oil', '10g'], ['Extra virgin olive oil', 'to taste']]"
Muffin salati con piselli e prosciutto,Antipasti,"[['Peas', '200g'], ['Cooked ham', '100g'], ['Flour', '200g'], ['Whole milk', '100ml'], ['Eggs', '170g'], ['Parsley', '1'], ['Extra virgin olive oil', 'to taste'], ['Pecorino cheese', '100g'], ['Instant yeast for savory preparations', '10g'], ['Fine salt', 'to taste'], ['Black pepper', 'to taste'], ['Seed oil', '100ml']]"
Tarte tatin,Desserts,"[['Chantecler apples', '4'], ['Sugar', 'to taste'], ['Flakes of salt', 'to taste'], ['Flour', '250g'], ['Butter', '125g'], ['Egg yolks', '1'], ['Water', '50g'], ['Fine salt', 'to taste'], ['Sugar', '150g'], ['Butter', '60g'], ['Water', 'to taste']]"
Fennel and orange salad,Insalate,"[['Fennels', '840g'], ['Oranges', '2'], ['Pine nuts', '50g'], ['Raisins', '20g'], ['Salt', 'to taste'], ['Olive oil', '50g'], ['Vinegar', '3g'], ['Pumpkin seeds', '8g']]"
Pasta and potatoes Neapolitan style,First Courses,"[['Mixed pasta', '320g'], ['Potatoes', '750g'], ['Celery', '150g'], ['Carrots', '150g'], ['White onions', '1'], ['Lard', '130g'], ['Tomato paste', '20g'], ['Rosemary', '1'], ['Parmigiano Reggiano DOP', '1'], ['Olive oil', 'to taste'], ['Fine salt', 'to taste'], ['Black pepper', 'to taste']]"
Potato croquettes,Antipasti,"[['Red potatoes', '1kg'], ['Egg yolks', '30g'], ['Nutmeg', 'to taste'], ['Black pepper', 'to taste'], ['Fine salt', 'to taste'], ['Parmigiano Reggiano DOP', '100g'], ['Eggs', '130g'], ['Breadcrumbs', 'to taste'], ['Peanut oil', 'to taste']]"
Savory panettone,Antipasti,"[['Manitoba flour', '150g'], ['Whole milk', '100g'], ['Dry yeast', '2g'], ['Flour', '400g'], ['Whole milk', '120g'], ['Butter', '80g'], ['Sugar', '40g'], ['Eggs', '1'], ['Egg yolks', '1'], ['Dry yeast', '2g'], ['Fine salt', '8g'], ['Malt', '2g'], ['Cream cheese', '100g'], ['Fresh cream', '10g'], ['Fine salt', 'to taste'], ['Black pepper', 'to taste'], ['Chives', '15g'], ['Smoked salmon', '80g'], ['Asparagus', '150g'], ['Robiola cheese', '100g'], ['Fine salt', 'to taste'], ['Black pepper', 'to taste'], ['Goat cheese', '160g'], ['Tomato paste', '10g'], ['Fresh cream', '20g'], ['Radicchio', '40g'], ['Cooked ham', '100g'], ['Black pepper', 'to taste'], ['Fine salt', 'to taste'], ['Shrimp', '170g'], ['Chives', '5g'], ['Cocktail sauce', '80g']]"
Pasta and lentils,First Courses,"[['Ditaloni Rigati', '350g'], ['Lentils', '200g'], ['Smoked pancetta', '80g'], ['Tomato purée', '100g'], ['Carrots', '80g'], ['Onions', '80g'], ['Celery', '60g'], ['Vegetable broth', '1l'], ['Fresh garlic', '1'], ['Rosemary', '1'], ['Thyme', '1'], ['Parmigiano Reggiano DOP', '40g'], ['Chili', '1g'], ['Olive oil', '30g'], ['Fine salt', 'to taste'], ['Black pepper', 'to taste']]"
Dorayaki,Desserts,"[['Water', '180g'], ['Flour', '240g'], ['Powdered sugar', '150g'], ['Eggs', '2'], ['Baking powder', '3g'], ['Honey', '20g'], ['Seed oil', 'to taste']]"
Pumpkin meatballs,Antipasti,"[['Pumpkin', '500g'], ['Breadcrumbs', '100g'], ['Parmigiano Reggiano DOP', '100g'], ['Smoked scamorza cheese', '50g'], ['Eggs', '1'], ['Sage', 'to taste'], ['Olive oil', 'to taste'], ['Fine salt', 'to taste'], ['Black pepper', 'to taste'], ['Breadcrumbs', 'to taste'], ['Seed oil', 'to taste']]"
Apricot jam tart,Desserts,"[['Flour', '250g'], ['Butter', '150g'], ['Powdered sugar', '100g'], ['Egg yolks', '80g'], ['Acacia honey', '20g'], ['Lemon zest', '½'], ['Vanilla pod', '½'], ['Fine salt', '1g'], ['Apricot jam', '250g'], ['Lemon zest', '½']]"
Porcini mushroom risotto,First Courses,"[['Carnaroli rice', '320g'], ['Porcini mushrooms', '400g'], ['Vegetable broth', '1l'], ['Golden onions', '1'], ['Garlic', '1'], ['Butter', '30g'], ['Olive oil', '2'], ['Fine salt', 'to taste'], ['Black pepper', 'to taste'], ['Parmigiano Reggiano DOP', '50g'], ['Butter', '30g'], ['Parsley', '2']]"
Spaghetti alla puttanesca,First Courses,"[['Spaghetti', '320g'], ['Canned peeled tomatoes', '800g'], ['Anchovies in oil', '25g'], ['Capers in salt', '10g'], ['Parsley', '1'], ['Gaeta olives', '100g'], ['Garlic', '3'], ['Dried chili', '2'], ['Olive oil', '30g'], ['Fine salt', 'to taste']]"
Oven-baked salmon,Second Courses,"[['Salmon steaks', '660g'], ['Potatoes', '170g'], ['Lemon zest', '1'], ['Lemon juice', '25g'], ['White wine', '25g'], ['Olive oil', '50g'], ['Parsley', '1 tablespoon'], ['Fine salt', 'to taste'], ['Black pepper', 'to taste']]"
Romagnola flatbread,Piatti Unici,"[['Flour', '500g'], ['Lard', '125g'], ['Water', '170g'], ['Fine salt', '15g'], ['Baking soda', '5']]"
Pasta with pumpkin,First Courses,"[['Farfalle', '320g'], ['Pumpkin', '600g'], ['Smoked pancetta', '60g'], ['Rosemary', '1'], ['Vegetable broth', '150g'], ['Olive oil', '50g'], ['Cow's ricotta', '40g'], ['Shallot', '30g'], ['Fine salt', 'to taste'], ['Black pepper', 'to taste']]"
Seafood salad,Antipasti,"[['Mussels', '1kg'], ['Clams', '750g'], ['Octopus', '700g'], ['Shrimp', '500g'], ['Squid', '400g'], ['Carrots', '2'], ['Celery', '2'], ['Garlic', '1'], ['Bay leaves', '4'], ['Parsley', 'to taste'], ['Black peppercorns', 'to taste'], ['Coarse salt', 'to taste'], ['Lemon juice', '40g'], ['Olive oil', '40g'], ['Parsley', 'to taste'], ['Fine salt', 'to taste'], ['Black pepper', 'to taste']]"
Oven-roasted veal roast with potatoes,Second Courses,"[['Veal flank', '600g'], ['Potatoes', '1kg'], ['White wine', '50g'], ['Rosemary', '2'], ['Garlic', '2'], ['Olive oil', '40g'], ['Fine salt', 'to taste'], ['Black pepper', 'to taste']]"
Oven-baked meatloaf,Second Courses,"[['Beef', '600'], ['Sausage', '400g'], ['Bread', '200g'], ['Pecorino cheese', '150g'], ['Whole milk', '200g'], ['Eggs', '110g'], ['Thyme', '3'], ['Nutmeg', '½'], ['Fine salt', 'to taste'], ['Black pepper', 'to taste'], ['Olive oil', 'to taste'], ['Red potatoes', '500g'], ['Shallot', '2'], ['Sage', 'to taste'], ['Thyme', '3'], ['Fine salt', 'to taste'], ['Black pepper', 'to taste'], ['Olive oil', 'to taste']]"
Puff pastry bites,Antipasti,"[['Black olives', '4'], ['Capers in vinegar', '20'], ['Provola cheese', '65g'], ['Eggs', '1'], ['Oregano', 'half tablespoon'], ['Puff pastry', '230g'], ['Anchovies in oil', '5'], ['Tomato purée', '50g'], ['Pesto alla Genovese', '3']]"
Mushroom scaloppine,Second Courses,"[['Veal', '400g'], ['Champignon mushrooms', '500g'], ['Butter', '50g'], ['Black pepper', 'to taste'], ['Flour', '40g'], ['Garlic', '1'], ['Olive oil', '10g'], ['Fine salt', 'to taste'], ['Thyme', 'to taste'], ['Rosemary', '1']]"
Hot milk cake,Desserts,"[['Whole milk', '200g'], ['Eggs', '210g'], ['Flour', '200g'], ['Sugar', '180g'], ['Butter', '60g'], ['Baking powder', '6g'], ['Lemon zest', '1'], ['Fine salt', 'a pinch']]"
Pasta alla Norma,First Courses,"[['Rigatoni', '500g'], ['Eggplants', '1'], ['Sheep ricotta', '150g'], ['Fine salt', 'to taste'], ['Costoluto tomatoes', '5kg'], ['Garlic', '4'], ['Fine salt', 'to taste'], ['Basil', '1'], ['Olive oil', 'to taste']]"
Almond brittle,Desserts,"[['Peeled almonds', '500g'], ['Sugar', '350g'], ['Acacia honey', '125g'], ['Lemon juice', 'a few drops']]"
Mozzarella in carrozza,Antipasti,"[['White bread', '12'], ['Buffalo mozzarella', '500g'], ['Fine salt', 'to taste'], ['Eggs', '5'], ['Flour', '100g'], ['Breadcrumbs', '300g'], ['Sunflower seed oil', '1l']]"
Cat's tongues,Desserts,"[['Butter', '50g'], ['Powdered sugar', '60g'], ['Egg whites', '50g'], ['Flour', '50g']]"
Mushroom risotto,First Courses,"[['Carnaroli rice', '240g'], ['Honey mushrooms', '200g'], ['Champignon mushrooms', '200g'], ['Onions', '½'], ['Butter', '80g'], ['Parmigiano Reggiano DOP', '60g'], ['Fine salt', 'to taste'], ['Parsley', 'to taste'], ['White wine', '50g'], ['Water', '1l'], ['White pepper', 'to taste'], ['Olive oil', 'to taste']]"
Venetian-style creamed cod,Antipasti,"[['Stockfish', '500g'], ['Olive oil', '280g'], ['Lemons', '½'], ['Garlic', '1'], ['Bay leaves', '2'], ['Fine salt', 'to taste'], ['Black pepper', 'to taste'], ['Parsley', 'to taste'], ['Olive oil', 'to taste']]"
Praline almonds,Desserts,"[['Almonds', '150g'], ['Sugar', '120g'], ['Water', '35g']]"
Fish soup,First Courses,"[['Shrimp', '6'], ['Cuttlefish', '400g'], ['Gurnard', '550g'], ['Monkfish tail', '500g'], ['Red mullet', '550g'], ['Olive oil', 'to taste'], ['Garlic', '2'], ['Parsley', 'to taste'], ['White wine', '50g'], ['Fine salt', 'to taste'], ['Black pepper', 'to taste'], ['Tomato purée', '500g'], ['Celery', '1'], ['Carrots', '1'], ['White onions', '1'], ['Water', '5l'], ['White peppercorns', 'to taste'], ['Parsley', 'to taste'], ['Mussels', '1kg'], ['Olive oil', 'to taste'], ['Garlic', '1']]"
Spinach and ricotta meatballs,Second Courses,"[['Spinach', '250g'], ['Cow's ricotta', '250g'], ['Grana Padano DOP', '50g'], ['Breadcrumbs', '40g'], ['Olive oil', '20g'], ['Garlic', '1'], ['Fine salt', 'to taste'], ['Black pepper', 'to taste'], ['Eggs', '1'], ['Breadcrumbs', 'to taste'], ['Fine salt', 'to taste'], ['Black pepper', 'to taste']]"
Pizza Margherita,Lievitati,"[['Manitoba flour', '200g'], ['Flour', '300g'], ['Water', '300ml'], ['Fine salt', '10g'], ['Fresh yeast', '4g'], ['Tomato purée', '300g'], ['Mozzarella', '200g'], ['Basil', 'to taste'], ['Olive oil', 'to taste'], ['Semolina flour', 'to taste']]"
Lemon cheesecake,Desserts,"[['Digestive biscuits', '200g'], ['Butter', '100g'], ['Cow's ricotta', '500g'], ['Cream cheese', '250g'], ['Lemon juice', '100g'], ['Powdered sugar', '150g'], ['Lemon zest', '2'], ['Fresh cream', '100g'], ['Gelatin sheets', '10g'], ['Lemon juice', '60g'], ['Cornstarch', '15g'], ['Water', '100g'], ['Sugar', '80g'], ['Turmeric powder', '¼'], ['Lemons', '1'], ['Mint', 'to taste'], ['Sugar', '100g'], ['Water', '80']]"
Eggless tiramisu,Desserts,"[['Fresh cream', '100g'], ['Mascarpone', '350g'], ['Coffee', '50g'], ['Ladyfingers', '8'], ['Bitter cocoa powder', 'to taste'], ['Powdered sugar', '30g']]"
Puff pastry,Desserts,"[['Flour', '175g'], ['Water', '100g'], ['Fine salt', '5g'], ['Butter', '250g'], ['Flour', '150g']]"
Duchess potatoes,Contorni,"[['Potatoes', '500g'], ['Nutmeg', 'to taste'], ['Black pepper', 'to taste'], ['Butter', '50g'], ['Egg yolks', '2'], ['Parmigiano Reggiano DOP', '50g']]"
Oven-baked prawns,Second Courses,"[['Prawns', '12'], ['Lemon juice', '40g'], ['Olive oil', '60g'], ['Fine salt', 'to taste'], ['Black pepper', 'to taste'], ['Parsley', 'to taste']]"
Black forest cake,Desserts,"[['Eggs', '6'], ['Flour', '100g'], ['Dark chocolate', '140g'], ['Butter', '75g'], ['Sugar', '180g'], ['Cornstarch', '50g'], ['Baking powder', '16g'], ['Cherries', '500g'], ['Sugar', '80g'], ['Kirsch', '70g'], ['Fresh cream', '1l'], ['Powdered sugar', '80g'], ['Cherries', '17'], ['Dark chocolate', '150g'], ['Dark chocolate', '100g']]"
Yogurt cake,Desserts,"[['Greek yogurt', '320g'], ['Eggs', '220g'], ['Butter', '150g'], ['Sugar', '200g'], ['Flour', '250g'], ['Cornstarch', '80g'], ['Lemon zest', '1'], ['Fine salt', 'a pinch'], ['Baking powder', '16g']]"
Pan di Stelle cake,Desserts,"[['Cookies', '450g'], ['Fresh cream', '600g'], ['Dark chocolate', '100g'], ['Powdered sugar', '80g'], ['Whole milk', '70g'], ['Whole milk', 'to taste'], ['Powdered sugar', 'to taste'], ['Bitter cocoa powder', 'to taste']]"
Parmesan biscuits,Antipasti,"[['Parmigiano Reggiano DOP', '100g'], ['Flour', '125g'], ['Salty butter', '80g'], ['Fine salt', 'a pinch'], ['Black pepper', 'a pinch'], ['Egg whites', '1'], ['Pine nuts', 'to taste'], ['Cumin', 'to taste'], ['Smoked salt', 'to taste'], ['Sichuan pepper', 'to taste']]"
Pretzel,Lievitati,"[['Flour', '340g'], ['Water', '185g'], ['Fine salt', '5g'], ['Dry yeast', '2g'], ['Butter', '15g'], ['Flake salt', 'to taste'], ['Baking soda', '35g'], ['Water', '2l']]"
Nutellotti,Desserts,"[['Nutella', '180g'], ['Flour', '135g'], ['Eggs', '1'], ['Nutella', '125g'], ['Hazelnut granules', '30g']]"
Fish meatballs,Second Courses,"[['Cod', '700g'], ['Bread', '100g'], ['Parsley', '1'], ['Thyme', 'to taste'], ['Eggs', '2'], ['Garlic', '1'], ['Fine salt', 'to taste'], ['Black pepper', 'to taste'], ['Parmigiano Reggiano DOP', '80g'], ['Flour', 'to taste'], ['Peanut oil', 'to taste']]"
Apple fritters,Desserts,"[['Green apples', '580g'], ['Lemon juice', '1'], ['Flour', '150g'], ['Whole milk', '200g'], ['Eggs', '2'], ['Baking powder', '8g'], ['Fine salt', 'a pinch'], ['Seed oil', 'to taste'], ['Sugar', '30g'], ['Cinnamon powder', 'to taste']]"
